epsilon_label,epsilon,seed,pooled_auc,pooled_calib_intercept,pooled_calib_slope,worst_site_auc,worst_site_abs_intercept,worst_site_slope_dev,worst_site_id_intercept,worst_site_id_auc,elapsed_sec
1.0,1.0,0,0.5451498789797058,0.020596414587516796,0.011145956707546924,0.23333333333333334,4.51684892390543,1.185543345364862,2,2,11.066425416007405
1.0,1.0,1,0.46484205300068265,0.324384307149671,-0.024594936710611626,0.4,4.431382714589241,1.1404963045121324,2,2,11.826292499987176
1.0,1.0,2,0.5530317135232421,0.34816836636369636,0.026826024885782198,0.5333333333333333,2.7092097702899984,0.9999115331180447,2,2,11.713043416006258
3.0,3.0,0,0.6564264879290014,0.02329830407536336,0.04667196829039789,0.6585714285714286,5.196396160873449,0.964769373377296,2,3,12.203775958972983
3.0,3.0,1,0.5155464531744555,-0.05034172651500854,0.011183243201724851,0.4,4.431382714589241,1.1404963045121324,2,2,12.026236375008011
3.0,3.0,2,0.7478123254514988,0.28499149822431674,0.06456989700873952,0.6471428571428572,4.969428645810596,0.9690498585710469,2,3,11.858032791002188
10.0,10.0,0,0.7332278284614907,0.10989994179404486,0.09100995255318266,0.6666666666666666,3.616766937219265,0.9170217695836068,2,2,12.59441954200156
10.0,10.0,1,0.6490721777446783,-0.029733908412925853,0.043899468361906134,0.6228571428571429,2.9259054685141725,0.9639647369256082,2,3,12.342866374994628
10.0,10.0,2,0.6868987773847205,-0.2552222512027071,0.08066616087469439,0.5457142857142857,3.20328768101561,0.9601821884622206,2,3,12.690236833004747
noDP,inf,0,0.8082914416930429,0.25952464932626323,0.7657167424739232,0.7342857142857143,3.3923754547312592,0.4509863423419598,2,3,11.491226124984678
noDP,inf,1,0.8064295910134672,0.21110467405821132,0.7752280090726187,0.7142857142857143,3.2526431927232036,0.5407373136561843,2,3,11.538357292010915
noDP,inf,2,0.8112704027803637,0.27239288567358794,0.8133894052258257,0.7457142857142857,3.3928765471689446,0.47026425803542926,2,3,11.768024209013674
